#Iteration #error_Jacobi #error_Gauss #error_ICF #error_ICNE #error_Multigrid #error_CG
53 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
54 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
55 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
56 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
57 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
58 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
59 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
60 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
61 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
62 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
63 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
64 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
65 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
66 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
67 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
68 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
69 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
70 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
71 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
72 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
73 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
74 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
75 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
76 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
77 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
78 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
79 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
80 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
81 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
82 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
83 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
84 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
85 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
86 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
87 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
88 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
89 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
90 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
91 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
92 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
93 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
94 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
95 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
96 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
97 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
98 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
99 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
100 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
101 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
102 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
103 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
104 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
105 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
106 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
107 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
108 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
109 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
110 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
111 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
112 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
113 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
114 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
115 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
116 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
117 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
118 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
119 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
120 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
121 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
122 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
123 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
124 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
125 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
126 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
127 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
